Name,long,Lat
Ceratocephale oculata,-90.1,27.905
Ceratocephale oculata,-90.098,28.03
Ceratocephale oculata,-89.987,27.744
Ceratocephale oculata,-89.981,27.735
Ceratocephale oculata,-89.98,27.728
Ceratocephale loveni,-89.823,27.509
Ceratocephale oculata,-89.823,27.507
Ceratocephale oculata,-89.785,27.472
Ceratocephale loveni,-89.773,27.485
Ceratocephale oculata,-89.763,27.453
Ceratocephale loveni,-89.763,27.453
Ceratocephale oculata,-89.692,21.975
Ceratocephale oculata,-89.496,28.22
Ceratocephale loveni,-89.496,28.22
Ceratocephale loveni,-89.166,27.827
Ceratocephale oculata,-88.67,27.326
Ceratocephale loveni,-88.67,27.326
Ceratocephale oculata,-88.616,30.032
Ceratocephale oculata,-88.579,28.552
Ceratocephale oculata,-88.558,29.925
Ceratocephale oculata,-88.451,29.031
,-88.426,30.169
Ceratocephale oculata,-88.246,30.092
Ceratocephale oculata,-88.208,29.891
Ceratocephale oculata,-88.207,29.891
Ceratocephale oculata,-88.184,29.957
Ceratocephale oculata,-88.013,29.803
,-87.958,30.09
Ceratocephale oculata,-87.912,29.725
Ceratocephale oculata,-87.908,29.725
Ceratocephale oculata,-87.908,29.724
Ceratocephale oculata,-87.775,29.758
Ceratocephale oculata,-87.774,29.758
Ceratocephale oculata,-87.752,29.874
Ceratocephale oculata,-87.709,29.441
Ceratocephale oculata,-87.679,28.912
Ceratocephale oculata,-87.67,28.919
Ceratocephale oculata,-87.651,28.923
Ceratocephale oculata,-87.617,29.675
Ceratocephale oculata,-87.52,29.568
Ceratocephale oculata,-87.493,29.956
Ceratocephale oculata,-87.399,29.901
Ceratocephale oculata,-87.338,29.831
Ceratocephale oculata,-87.325,28.272
Ceratocephale oculata,-87.056,29.334
Ceratocephale oculata,-86.669,30.25
Ceratocephale loveni,-86.647,28.007
Ceratocephale oculata,-86.64,28.008
Ceratocephale oculata,-86.611,28.258
Ceratocephale oculata,-86.576,28.014
Ceratocephale oculata,-86.501,30.132
Ceratocephale oculata,-86.5,30.134
Ceratocephale oculata,-86.429,28.254
Ceratocephale loveni,-86.429,28.254
Ceratocephale oculata,-86.417,29.5
Ceratocephale oculata,-86.415,29.501
Ceratocephale oculata,-86.393,28.889
Ceratocephale oculata,-86.283,29.667
Ceratocephale oculata,-86.283,29.666
Ceratocephale oculata,-86.258,29.717
Ceratocephale oculata,-86.258,29.715
Ceratocephale oculata,-86.252,28.278
Ceratocephale oculata,-86.248,28.28
Ceratocephale oculata,-86.205,29.766
Ceratocephale oculata,-86.2,30.306
Ceratocephale oculata,-86.163,28.247
Ceratocephale oculata,-86.158,29.8
Ceratocephale oculata,-86.158,29.799
,-86.156,29.801
Ceratocephale oculata,-86.109,29.933
Ceratocephale oculata,-86.108,29.933
Ceratocephale oculata,-86.084,29.916
Ceratocephale oculata,-86.083,29.916
Ceratocephale oculata,-86.083,29.915
Ceratocephale oculata,-86.081,29.917
Ceratocephale oculata,-86.08,28.502
Ceratocephale oculata,-86.05,29.794
Ceratocephale oculata,-86.026,28.458
Ceratocephale oculata,-85.781,28.335
Ceratocephale oculata,-85.749,28.75
Ceratocephale oculata,-85.708,29.399
Ceratocephale oculata,-85.702,30.122
Ceratocephale oculata,-85.669,28.046
Ceratocephale loveni,-85.669,28.046
Ceratocephale oculata,-85.657,29.617
Ceratocephale loveni,-85.618,28.833
Ceratocephale oculata,-85.524,28.204
Ceratocephale oculata,-85.384,28.967
Ceratocephale oculata,-85.384,28.966
Ceratocephale oculata,-85.252,28.401
Ceratocephale loveni,-85.252,28.401
Ceratocephale oculata,-85.249,29.4
Ceratocephale oculata,-85.249,29.084
Ceratocephale pacifica,-85.249,28.397
Ceratocephale oculata,-85.249,28.397
Ceratocephale oculata,-85.236,28.83
Ceratocephale oculata,-85.084,29.784
Ceratocephale oculata,-85.001,29.218
Ceratocephale oculata,-85,29.217
Ceratocephale oculata,-84.739,29.34
Ceratocephale oculata,-84.734,29.334
Ceratocephale oculata,-84.734,29.333
Ceratocephale oculata,-84.733,29.333
Ceratocephale oculata,-84.731,29.338
Ceratocephale oculata,-84.717,28.824
Ceratocephale oculata,-84.695,29.467
Ceratocephale oculata,-84.45,29.5
Ceratocephale oculata,-84.336,28.701
Ceratocephale oculata,-84.336,28.566
Ceratocephale oculata,-84.335,29.301
Ceratocephale oculata,-84.333,28.701
Ceratocephale oculata,-84.333,28.7
Ceratocephale oculata,-84.314,27.792
Ceratocephale oculata,-84.284,29.619
Ceratocephale oculata,-84.283,29.617
Ceratocephale oculata,-84.255,25.669
Ceratocephale oculata,-84.252,25.668
Ceratocephale oculata,-84.251,26.416
Ceratocephale oculata,-84.251,25.665
Ceratocephale oculata,-84.231,27.058
Ceratocephale oculata,-84.214,30.012
Ceratocephale oculata,-84.183,29.7
Ceratocephale oculata,-84.176,29.454
Ceratocephale oculata,-84.153,29.184
Ceratocephale oculata,-84.124,27.404
Ceratocephale oculata,-84.1,29.933
Ceratocephale oculata,-84.1,28.932
Ceratocephale oculata,-84.099,28.934
Ceratocephale oculata,-84.084,29.784
Ceratocephale oculata,-84.081,29.784
Ceratocephale oculata,-83.977,28.028
Ceratocephale oculata,-83.95,27.859
Ceratocephale oculata,-83.942,26.266
Ceratocephale oculata,-83.892,27.619
Ceratocephale oculata,-83.884,27.942
Ceratocephale oculata,-83.884,27.941
Ceratocephale oculata,-83.884,27.939
Ceratocephale oculata,-83.883,26.102
Ceratocephale oculata,-83.882,27.941
Ceratocephale oculata,-83.874,24.944
Ceratocephale oculata,-83.834,25.668
Ceratocephale oculata,-83.834,25.665
Ceratocephale oculata,-83.828,26.677
Ceratocephale oculata,-83.825,25.647
Ceratocephale oculata,-83.82,25.463
Ceratocephale oculata,-83.806,25.347
Ceratocephale oculata,-83.798,25.824
Ceratocephale oculata,-83.774,28.571
Ceratocephale oculata,-83.759,24.925
Ceratocephale oculata,-83.756,25.924
Ceratocephale oculata,-83.752,29.084
Ceratocephale oculata,-83.75,29.084
Ceratocephale oculata,-83.732,25.152
Ceratocephale oculata,-83.727,26.576
Ceratocephale oculata,-83.723,26.615
Ceratocephale oculata,-83.707,27.98
Ceratocephale oculata,-83.707,27.958
Ceratocephale oculata,-83.695,25.535
Ceratocephale oculata,-83.672,25.435
Ceratocephale oculata,-83.654,25.475
Ceratocephale oculata,-83.651,26.245
Ceratocephale oculata,-83.65,26.225
Ceratocephale oculata,-83.647,25.754
Ceratocephale oculata,-83.641,25.116
Ceratocephale oculata,-83.624,25.024
Ceratocephale oculata,-83.62,25.932
Ceratocephale oculata,-83.598,27.996
